date,mise_stars,asdf_stars,hk_stars,just_stars
2019-12-17,0,6012,0,1229
2019-12-18,0,6022,0,1239
2019-12-19,0,6029,0,1241
2019-12-20,0,6032,0,1244
2019-12-21,0,6038,0,1247
2019-12-22,0,6044,0,1248
2019-12-23,0,6045,0,1250
2019-12-24,0,6053,0,30048
2019-12-25,0,6056,0,1251
2019-12-26,0,6064,0,1257
2019-12-27,0,6073,0,1261
2019-12-28,0,6078,0,1262
2019-12-29,0,6078,0,30048
2019-12-30,0,6083,0,1263
2019-12-31,0,6088,0,1266
2020-01-01,0,6090,0,30048
2020-01-02,0,6094,0,1267
2020-01-03,0,6100,0,1268
2020-01-04,0,6104,0,1269
2020-01-05,0,6108,0,1270
2020-01-06,0,6114,0,1271
2020-01-07,0,6124,0,1273
2020-01-08,0,6127,0,1274
2020-01-09,0,6133,0,1275
2020-01-10,0,6140,0,1276
2020-01-11,0,6142,0,30048
2020-01-12,0,6147,0,1277
2020-01-13,0,6150,0,1278
2020-01-14,0,6157,0,1280
2020-01-15,0,6171,0,1283
2020-01-16,0,6178,0,1285
2020-01-17,0,6186,0,30048
2020-01-18,0,6188,0,1287
2020-01-19,0,6191,0,30048
2020-01-20,0,6195,0,1292
2020-01-21,0,6200,0,1294
2020-01-22,0,6207,0,1299
2020-01-23,0,6210,0,1301
2020-01-24,0,6224,0,30048
2020-01-25,0,6227,0,30048
2020-01-26,0,6230,0,1303
2020-01-27,0,6235,0,30048
2020-01-28,0,6241,0,1304
2020-01-29,0,6245,0,1307
2020-01-30,0,6252,0,1308
2020-01-31,0,6259,0,1309
2020-02-01,0,6263,0,1310
2020-02-02,0,6269,0,30048
2020-02-03,0,6279,0,30048
2020-02-04,0,6282,0,1311
2020-02-05,0,6284,0,1313
2020-02-06,0,6288,0,30048
2020-02-07,0,6298,0,1314
2020-02-08,0,6303,0,30048
2020-02-09,0,6306,0,1316
2020-02-10,0,6311,0,1318
2020-02-11,0,6321,0,30048
2020-02-12,0,6329,0,1319
2020-02-13,0,6339,0,1322
2020-02-14,0,6344,0,30048
2020-02-15,0,6349,0,30048
2020-02-16,0,6351,0,1323
2020-02-17,0,6355,0,30048
2020-02-18,0,6369,0,30048
2020-02-19,0,6382,0,1325
2020-02-20,0,6391,0,1326
2020-02-21,0,6399,0,1330
2020-02-22,0,6404,0,1333
2020-02-23,0,6410,0,30048
2020-02-24,0,6415,0,30048
2020-02-25,0,6426,0,1336
2020-02-26,0,6431,0,1337
2020-02-27,0,6437,0,1338
2020-02-28,0,6444,0,1339
2020-02-29,0,6452,0,30048
2020-03-01,0,6454,0,30048
2020-03-02,0,6459,0,30048
2020-03-03,0,6463,0,1341
2020-03-04,0,6468,0,30048
2020-03-05,0,6479,0,1344
2020-03-06,0,6485,0,1345
2020-03-07,0,6489,0,1347
2020-03-08,0,6494,0,1348
2020-03-09,0,6500,0,1349
2020-03-10,0,6503,0,1351
2020-03-11,0,6512,0,1352
2020-03-12,0,6516,0,1353
2020-03-13,0,6521,0,1355
2020-03-14,0,6524,0,1357
2020-03-15,0,6530,0,1359
2020-03-16,0,6533,0,1361
2020-03-17,0,6537,0,30048
2020-03-18,0,6542,0,1363
2020-03-19,0,6549,0,1364
2020-03-20,0,6559,0,1365
2020-03-21,0,6561,0,1368
2020-03-22,0,6568,0,1370
